utc,Label,Speed,HDOP,Satelites,Latitude,Longitude,Altitude,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,session_id,motion_disagreement,motion_mismatch,speed_per_dyn_mag,speed_per_jerk_std
250426_102249.000,1,4.8,0.82,10,58.379162,8.682359,25.5,-9.593282,6.361011,0.100953,0.956963,0.685865,0.059472,-0.006466,-0.081319,0.033602,0.005784,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.153905,47.080737,6.897891
250426_102300.000,1,5.44,0.82,10,58.379009,8.682234,25.9,-9.818624,6.366414,0.06672,2.847244,0.806383,-0.02373,0.040729,0.04722,0.028359,0.004903,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.079041,80.330198,6.66354
250426_102301.000,1,5.24,0.82,10,58.379009,8.682221,25.6,-9.958888,6.763353,0.063526,2.35014,0.710992,-0.015332,0.040143,0.046787,0.031852,0.005033,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.074652,81.207482,7.267769
250426_102311.000,1,4.96,0.86,9,58.378891,8.682112,26.799999,-9.499993,6.34363,0.072967,0.788273,0.720851,0.065249,0.026071,-0.019673,0.032804,0.005397,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.096334,67.056945,6.786607
250426_102312.000,1,5.09,0.86,9,58.378868,8.682103,27.0,-9.294587,6.252329,0.060093,0.635542,0.729569,0.014177,-0.05447,0.021054,0.036606,0.00695,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.069287,83.314983,6.882388
250426_102313.000,1,5.18,0.86,9,58.37886,8.682096,27.200001,-9.879624,6.126257,0.067003,0.841738,0.937242,0.047925,-0.041611,-0.021474,0.032504,0.006186,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.082206,76.173278,5.468505
250426_102323.000,1,3.76,0.82,10,58.37875,8.682065,27.5,-10.077541,6.084509,0.006862,0.340883,0.852682,0.000165,-0.00474,0.004959,0.033651,0.005601,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.023876,478.242381,4.358501
250426_102325.000,1,3.07,0.82,10,58.37875,8.682067,27.700001,-10.174144,6.048491,0.021289,0.291621,0.86257,-0.005176,0.013173,0.015904,0.03381,0.004896,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.011879,137.734211,3.518343
250426_102326.000,1,2.6,0.82,10,58.37875,8.682067,27.700001,-10.508213,5.879657,0.028273,0.531882,0.871324,-0.025934,-0.008656,-0.007201,0.028985,0.003691,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.030546,88.8189,2.950108
250426_102336.000,1,1.05,0.82,10,58.37878,8.682094,27.799999,-10.632648,5.900832,0.011389,0.29518,0.792638,-0.001493,0.00686,-0.008967,0.025341,0.002547,23.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.012277,84.755598,1.308187
250426_102338.000,1,1.73,0.82,10,58.378792,8.682107,28.299999,-11.343753,5.82557,0.042736,0.228727,0.558466,0.015775,-0.039296,-0.005774,0.030248,0.002956,23.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.068172,39.555427,3.043276
250426_102348.000,1,1.99,0.82,10,58.37883,8.682161,30.700001,-11.842085,5.498904,0.02073,0.122511,0.499197,0.006798,-0.018917,0.005069,0.031384,0.003318,25.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.021561,91.577098,3.908118
250426_102350.000,1,0.0,0.82,10,58.378819,8.682158,30.700001,-10.904357,5.342904,0.111286,1.022059,0.620668,0.011503,0.081352,0.07506,0.037555,0.005365,25.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.222571,0.0,0.0
250426_102401.000,1,0.0,0.9,9,58.378819,8.682151,30.700001,-10.273457,4.302421,0.123422,0.960933,0.633291,0.120591,0.013281,-0.022679,0.04408,0.007955,25.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.246844,0.0,0.0
250426_102402.000,1,0.0,0.9,9,58.378819,8.682151,30.700001,-9.773604,3.590971,0.076564,0.350008,0.67392,0.054867,0.053379,-0.001522,0.038383,0.007779,19.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.153128,0.0,0.0
250426_102414.000,1,0.0,0.82,10,58.378799,8.682138,31.1,-10.108486,3.276243,0.033732,0.110809,0.676158,0.019013,-0.027815,-0.001642,0.040158,0.007235,15.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.067464,0.0,0.0
250426_102415.000,1,0.0,0.82,10,58.378799,8.682138,31.1,-10.380244,3.046022,0.036197,0.35439,0.506244,0.01588,-0.032508,0.001134,0.038851,0.006337,13.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.072393,0.0,0.0
250426_102425.000,1,2.73,0.82,10,58.378731,8.682101,31.0,-10.602714,2.865726,0.026536,0.156741,0.448091,0.02144,-0.015014,-0.004364,0.033499,0.004039,15.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.025772,99.143085,5.959515
250426_102426.000,1,3.06,0.82,10,58.378719,8.682092,30.9,-10.685112,2.590992,0.029315,0.624467,0.247762,-0.013502,-0.025936,0.0021,0.016167,0.001794,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.02803,100.940181,11.871402
