time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
574,110005.000,A,0,58.38392,8.677081,20.0,4.34,1.33,6,46.13,1,-0.4803467,1.459717,0.1612549,71.44283,-70.85728,1.545157,1.545157,-0.03354764
577,110006.000,A,0,58.38393,8.677107,20.1,4.29,1.33,6,44.34,1,-0.4682617,1.428711,0.1945801,67.4353,-71.72612,1.516029,1.516029,-0.00970908
580,110006.000,A,0,58.38393,8.677107,20.1,4.24,1.33,6,36.75,1,-0.4924316,2.016235,0.4614258,46.86179,-71.49457,2.126172,2.126172,0.2033809
583,110006.000,A,0,58.38393,8.677107,20.1,4.24,1.33,6,36.75,1,0.1186523,0.9031982,-0.3000488,-158.424,-70.34131,0.959101,0.959101,-0.3890237
586,110008.000,A,0,58.38396,8.677161,21.5,4.39,1.33,6,35.7,1,0.1140137,0.8348389,-0.3242188,-160.6254,-67.62431,0.9028138,0.9028138,-0.01876239
589,110008.000,A,0,58.38396,8.677161,21.5,50.004,1.33,6,222.0,1,-0.04943848,1.052002,-0.3265381,172.0416,-71.36787,1.102624,1.102624,0.06660333
592,110025.000,A,0,58.38399,8.677317,22.5,3.22,3.87,4,222.0,1,-0.2114258,0.8803711,-0.1751709,144.3125,-73.49134,0.9221925,0.9221925,-0.06014379
595,110026.000,A,0,58.38398,8.677334,22.4,3.29,7.26,3,181.93,1,-0.1376953,0.5775146,-0.1638184,137.244,-69.97128,0.6158893,0.6158893,-0.1021011
598,110027.000,A,0,58.38398,8.677328,22.3,3.2,7.26,3,213.32,1,-0.1016846,0.635498,-0.2279053,155.955,-68.56,0.6827432,0.6827432,0.02228463
601,110027.000,A,0,58.38398,8.677328,22.3,3.22,7.26,3,310.54,1,-0.2149658,0.8708496,-0.2675781,141.2224,-68.48886,0.9360488,0.9360488,0.0844352
604,110027.000,A,0,58.38398,8.677328,22.3,3.22,7.26,3,310.54,1,0.1416016,1.043091,-0.1014404,-125.617,-80.51957,1.057535,1.057535,0.0404953
